run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
4245,5484,1240,197424,Galatasaray - 9594,Olympiacos (piraeus) v Benfica (lisbon) - 2849.0
4246,5952,1337,214272,Galatasaray - 11300,APOEL (nicosia) v Celtic (glasgow) - 3652.0
4247,5335,1190,192072,Bodø/Glimt - 10140,Benfica (lisbon) v Fenerbahçe (istanbul) - 3237.0
4248,5041,1123,181459,Galatasaray - 10750,Real Madrid (madrid) v Galatasaray (istanbul) - 2739.0
4249,4960,1127,178563,Sporting CP - 9918,Lech Poznań (poznań) v Sevilla (seville) - 2438.0
4250,5979,1332,215233,Fenerbahçe - 12114,Benfica (lisbon) v Bodø/Glimt (bodø) - 3495.0
4251,5477,1235,197180,Fenerbahçe - 12399,Benfica (lisbon) v Fenerbahçe (istanbul) - 3237.0
4252,5466,1246,196770,Maccabi Haifa - 12746,Maccabi Haifa (haifa) v Real Betis (seville) - 3733.0
4253,5444,1231,195988,Panevezys - 9350,Sevilla (seville) v Panevezys (panevėžys) - 3067.0
4254,5948,1348,214112,Adana Demirspor - 11939,Maccabi Haifa (haifa) v Sevilla (seville) - 3733.0
4255,5218,1180,187859,APOEL - 11524,APOEL (nicosia) v Rangers (glasgow) - 3652.0
4256,5575,1253,200713,Dynamo Kyiv - 9759,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
4257,5267,1182,189600,Real Betis - 9196,Olympiacos (piraeus) v Rangers (glasgow) - 2872.0
4258,5205,1162,187370,Pyunik - 16233,Pyunik (yerevan) v Real Sociedad (san sebastián) - 3823.0
4259,5530,1236,199080,Galatasaray - 12432,Maccabi Haifa (haifa) v Manchester City (manchester) - 3728.0
4260,5348,1198,192544,Bodø/Glimt - 10408,Real Betis (seville) v HJK (helsinki) - 3339.0
4261,5193,1178,186954,Bodø/Glimt - 8967,Bodø/Glimt (bodø) v Atlético de Madrid (madrid) - 3186.0
4262,5205,1170,187370,Atlético de Madrid - 8802,Beşiktaş (istanbul) v Celtic (glasgow) - 2912.0
4263,5733,1305,206392,Maccabi Haifa - 12787,Maccabi Haifa (haifa) v Rangers (glasgow) - 3952.0
4264,5406,1222,194623,Bodø/Glimt - 11779,Benfica (lisbon) v Bodø/Glimt (bodø) - 3495.0
4265,4548,1029,163721,Sevilla - 8262,Shkëndija (tetovo) v Sevilla (seville) - 2352.0
4266,5236,1173,188487,Olympiacos - 10342,Olympiacos (piraeus) v Rangers (glasgow) - 2872.0
